schedule_season,schedule_week,schedule_playoff,score_home,score_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,team_home_abbrev,team_away_abbrev,home_team_favored,point_diff,home_team_won
1979,16,False,27,23,NE,-5.0,40.0,False,NE,MIN,1,4,1
1979,16,False,7,31,NYG,-6.0,37.0,False,NYG,IND,1,-24,0
1979,16,False,24,29,LVR,-8.0,45.0,False,LVR,SEA,1,-5,0
1979,16,False,28,0,PIT,-12.0,39.0,False,PIT,BUF,1,28,1
1979,16,False,3,0,TB,-3.0,33.0,False,TB,KC,1,3,1
1979,16,False,17,7,LAC,-6.0,38.0,False,LAC,DEN,1,10,1
1979,Wildcard,True,13,7,TEN,-7.0,,False,TEN,DEN,1,6,1
1979,Wildcard,True,27,17,PHI,-6.5,,False,PHI,CHI,1,10,1
1979,Division,True,14,17,LAC,-8.0,,False,LAC,TEN,1,-3,0
1979,Division,True,24,17,PHI,-4.5,,False,TB,PHI,0,7,1
1979,Division,True,19,21,DAL,-8.5,,False,DAL,LAR,1,-2,0
1979,Division,True,34,14,PIT,-9.5,,False,PIT,MIA,1,20,1
1979,Conference,True,27,13,PIT,-9.5,,False,PIT,TEN,1,14,1
1979,Conference,True,0,9,LAR,-3.5,,False,TB,LAR,0,-9,0
1979,Superbowl,True,19,31,PIT,-10.5,36.0,True,LAR,PIT,0,-12,0
1980,1,False,17,7,MIA,-3.0,35.0,False,BUF,MIA,0,10,1
1980,1,False,12,17,TB,-1.0,34.0,False,CIN,TB,0,-5,0
1980,1,False,12,6,CHI,-6.0,35.0,False,GB,CHI,0,6,1
1980,1,False,14,27,KC,-3.0,42.0,False,KC,LVR,1,-13,0
1980,1,False,20,41,LAR,-9.0,38.0,False,LAR,DET,1,-21,0
1980,1,False,24,23,MIN,-4.0,42.0,False,MIN,ATL,1,1,1
1980,1,False,34,17,NE,-6.0,38.0,False,NE,CLE,1,17,1
1980,1,False,23,26,NO,-4.0,45.0,False,NO,SF,1,-3,0
1980,1,False,14,17,NYJ,-6.0,41.0,False,NYJ,IND,1,-3,0
1980,1,False,27,6,PHI,-3.0,38.0,False,PHI,DEN,1,21,1
1980,1,False,31,17,PIT,-7.0,40.0,False,PIT,TEN,1,14,1
